#period	period time	calc time
1	4239	2010
2	3998	1499
3	3996	1522
4	4013	2249
5	4244	2001
6	3753	2248
7	4242	2257
8	4246	2001
9	3997	2001
10	3503	1997
11	4492	2268
12	3502	1997
13	4252	4000
14	4988	1751
15	2995	2010
16	4005	3995
17	4991	1745
18	2996	2005
19	4000	3999
20	5746	2000
21	2747	2757
22	3498	2751
23	7752	2495
24	3241	2001
25	2748	3259
26	4497	1751
27	2000	1499
28	3501	1497
29	4244	2249
30	3751	1496
31	3993	1749
32	4745	2501
33	3247	1501
34	4248	2000
35	3998	2251
36	3995	2753
37	3997	2000
38	3997	4001
39	4747	2502
40	3248	2251
41	3997	2500
42	4746	2003
43	5248	2250
44	2996	3750
45	4497	2491
46	3497	1503
47	2748	1501
48	3996	1501
49	4248	1250
50	3747	1505
51	3997	1501
52	3998	1500
53	3997	1751
54	7248	2248
55	2993	2504
56	5248	2001
57	3246	2501
58	3252	2000
59	4495	1752
60	2499	1501
61	2998	1500
62	3998	1749
63	3995	1502
64	5488	1759
65	2756	3252
66	7497	2499
67	3496	2501
68	4497	1752
69	2499	1502
70	1999	1500
71	6745	1500
72	2248	1501
73	2749	1502
74	6495	2001
75	3748	2001
76	4747	3500
77	5247	2501
78	3247	1751
79	2248	1503
80	3748	2500
81	2997	1751
82	3498	1750
83	3998	1750
84	4246	2253
85	3999	1999
86	3996	4252
87	4996	2002
88	2998	2503
89	3748	2501
90	4246	1502
91	3751	1747
92	4211	1784
93	4030	1501
94	4247	2001
95	3747	4000
96	5996	2502
97	3498	2500
98	2997	3251
99	3748	1501
100	4996	2003
101	2747	3251
102	4248	2001
103	3747	2501
104	3994	4253
105	5000	2001
106	2997	2251
107	3998	1502
108	4002	1493
109	3992	1750
110	3998	1999
111	3995	1751
112	4003	1495
113	3992	2000
114	3996	2501
115	3998	2250
116	3998	3249
117	4994	2502
118	3249	2003
119	3997	3000
120	5246	2502
121	3248	2250
122	3248	1501
123	4996	1503
124	2998	1501
